Well,Linker 1,Part 1,Linker 2,Part 2,Linker 3,Part 3,Linker 4,Part 4,Linker 5,Part 5
F7,LMS,dummyBackbone,LMP,TU_Tkl1_Var_pREV1,L1,TU_aro3_Var_pPGK1,L2,TU_dCas9_Var_pREV1,L3,TU_gRNA_Cassette_Var_PheA3_TyrA3_gRNA
F8,LMS,dummyBackbone,LMP,TU_Tkl1_Var_pHHF1,L1,TU_aro3_Var_pCCW12,L2,TU_dCas9_Var_pHHF1,L3,TU_gRNA_Cassette_Var_PheA5_TyrA1_gRNA
F9,LMS,dummyBackbone,LMP,TU_Tkl1_Var_pPOP6,L1,TU_aro3_Var_pALD6,L2,TU_dCas9_Var_pPGK1,L3,TU_gRNA_Cassette_Var_PheA0_TyrA6_gRNA
F10,LMS,dummyBackbone,LMP,TU_Tkl1_Var_pPGK1,L1,TU_aro3_Var_pCCW12,L2,TU_dCas9_Var_pPOP6,L3,TU_gRNA_Cassette_Var_PheA5_TyrA1_gRNA
F11,LMS,dummyBackbone,LMP,TU_Tkl1_Var_pCCW12,L1,TU_aro3_Var_pPGK1,L2,TU_dCas9_Var_pHHF1,L3,TU_gRNA_Cassette_Var_PheA2_TyrA4_gRNA
F12,LMS,dummyBackbone,LMP,TU_Tkl1_Var_pPGK1,L1,TU_aro3_Var_pALD6,L2,TU_dCas9_Var_pHHF1,L3,TU_gRNA_Cassette_Var_PheA6_TyrA0_gRNA
G1,LMS,dummyBackbone,LMP,TU_Tkl1_Var_pPOP6,L1,TU_aro3_Var_pCCW12,L2,TU_dCas9_Var_pPGK1,L3,TU_gRNA_Cassette_Var_PheA6_TyrA0_gRNA
G2,LMS,dummyBackbone,LMP,TU_Tkl1_Var_pPGK1,L1,TU_aro3_Var_pALD6,L2,TU_dCas9_Var_pHHF1,L3,TU_gRNA_Cassette_Var_PheA0_TyrA6_gRNA
G3,LMS,dummyBackbone,LMP,TU_Tkl1_Var_pPGK1,L1,TU_aro3_Var_pPOP6,L2,TU_dCas9_Var_pREV1,L3,TU_gRNA_Cassette_Var_PheA0_TyrA6_gRNA
G4,LMS,dummyBackbone,LMP,TU_Tkl1_Var_pCCW12,L1,TU_aro3_Var_pPGK1,L2,TU_dCas9_Var_pALD6,L3,TU_gRNA_Cassette_Var_PheA5_TyrA1_gRNA
G5,LMS,dummyBackbone,LMP,TU_Tkl1_Var_pCCW12,L1,TU_aro3_Var_pCCW12,L2,TU_dCas9_Var_pHHF1,L3,TU_gRNA_Cassette_Var_PheA1_TyrA5_gRNA
G6,LMS,dummyBackbone,LMP,TU_Tkl1_Var_pPOP6,L1,TU_aro3_Var_pPGK1,L2,TU_dCas9_Var_pALD6,L3,TU_gRNA_Cassette_Var_PheA3_TyrA3_gRNA
G7,LMS,dummyBackbone,LMP,TU_Tkl1_Var_pALD6,L1,TU_aro3_Var_pPOP6,L2,TU_dCas9_Var_pPOP6,L3,TU_gRNA_Cassette_Var_PheA5_TyrA1_gRNA
G8,LMS,dummyBackbone,LMP,TU_Tkl1_Var_pPOP6,L1,TU_aro3_Var_pALD6,L2,TU_dCas9_Var_pREV1,L3,TU_gRNA_Cassette_Var_PheA3_TyrA3_gRNA
G9,LMS,dummyBackbone,LMP,TU_Tkl1_Var_pCCW12,L1,TU_aro3_Var_pPGK1,L2,TU_dCas9_Var_pCCW12,L3,TU_gRNA_Cassette_Var_PheA0_TyrA6_gRNA
G10,LMS,dummyBackbone,LMP,TU_Tkl1_Var_pHHF1,L1,TU_aro3_Var_pREV1,L2,TU_dCas9_Var_pREV1,L3,TU_gRNA_Cassette_Var_PheA4_TyrA2_gRNA
G11,LMS,dummyBackbone,LMP,TU_Tkl1_Var_pALD6,L1,TU_aro3_Var_pCCW12,L2,TU_dCas9_Var_pCCW12,L3,TU_gRNA_Cassette_Var_PheA4_TyrA2_gRNA
G12,LMS,dummyBackbone,LMP,TU_Tkl1_Var_pPGK1,L1,TU_aro3_Var_pPOP6,L2,TU_dCas9_Var_pHHF1,L3,TU_gRNA_Cassette_Var_PheA0_TyrA6_gRNA
H1,LMS,dummyBackbone,LMP,TU_Tkl1_Var_pREV1,L1,TU_aro3_Var_pHHF1,L2,TU_dCas9_Var_pHHF1,L3,TU_gRNA_Cassette_Var_PheA4_TyrA2_gRNA
H2,LMS,dummyBackbone,LMP,TU_Tkl1_Var_pPGK1,L1,TU_aro3_Var_pHHF1,L2,TU_dCas9_Var_pALD6,L3,TU_gRNA_Cassette_Var_PheA5_TyrA1_gRNA
H3,LMS,dummyBackbone,LMP,TU_Tkl1_Var_pREV1,L1,TU_aro3_Var_pHHF1,L2,TU_dCas9_Var_pPGK1,L3,TU_gRNA_Cassette_Var_PheA3_TyrA3_gRNA
H4,LMS,dummyBackbone,LMP,TU_Tkl1_Var_pALD6,L1,TU_aro3_Var_pHHF1,L2,TU_dCas9_Var_pHHF1,L3,TU_gRNA_Cassette_Var_PheA4_TyrA2_gRNA
H5,LMS,dummyBackbone,LMP,TU_Tkl1_Var_pPGK1,L1,TU_aro3_Var_pPGK1,L2,TU_dCas9_Var_pPOP6,L3,TU_gRNA_Cassette_Var_PheA2_TyrA4_gRNA
H6,LMS,dummyBackbone,LMP,TU_Tkl1_Var_pCCW12,L1,TU_aro3_Var_pREV1,L2,TU_dCas9_Var_pCCW12,L3,TU_gRNA_Cassette_Var_PheA2_TyrA4_gRNA
H7,LMS,dummyBackbone,LMP,TU_Tkl1_Var_pPOP6,L1,TU_aro3_Var_pHHF1,L2,TU_dCas9_Var_pALD6,L3,TU_gRNA_Cassette_Var_PheA6_TyrA0_gRNA
H8,LMS,dummyBackbone,LMP,TU_Tkl1_Var_pALD6,L1,TU_aro3_Var_pREV1,L2,TU_dCas9_Var_pREV1,L3,TU_gRNA_Cassette_Var_PheA5_TyrA1_gRNA
H9,LMS,dummyBackbone,LMP,TU_Tkl1_Var_pPGK1,L1,TU_aro3_Var_pREV1,L2,TU_dCas9_Var_pALD6,L3,TU_gRNA_Cassette_Var_PheA3_TyrA3_gRNA
H10,LMS,dummyBackbone,LMP,TU_Tkl1_Var_pREV1,L1,TU_aro3_Var_pPOP6,L2,TU_dCas9_Var_pPGK1,L3,TU_gRNA_Cassette_Var_PheA3_TyrA3_gRNA
H11,LMS,dummyBackbone,LMP,TU_Tkl1_Var_pHHF1,L1,TU_aro3_Var_pCCW12,L2,TU_dCas9_Var_pREV1,L3,TU_gRNA_Cassette_Var_PheA0_TyrA6_gRNA
H12,LMS,dummyBackbone,LMP,TU_Tkl1_Var_pPGK1,L1,TU_aro3_Var_pHHF1,L2,TU_dCas9_Var_pCCW12,L3,TU_gRNA_Cassette_Var_PheA0_TyrA6_gRNA
